title,year,genres,director,cast,keywords,overview
Inception,2010,Sci-Fi Thriller Action,Christopher Nolan,Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page,dreams heist subconscious layered-reality,A thief who steals secrets from people's dreams is given a chance to plant an idea instead of stealing one.
Interstellar,2014,Sci-Fi Drama Adventure,Christopher Nolan,Matthew McConaughey Anne Hathaway Jessica Chastain,space time-travel wormhole survival,A group of explorers travel through a wormhole to find a new home for humanity as Earth becomes uninhabitable.
The Dark Knight,2008,Action Crime Drama,Christopher Nolan,Christian Bale Heath Ledger Aaron Eckhart,vigilante crime-boss moral-choice gotham,A vigilante crime fighter faces a chaotic criminal mastermind who wants to prove that anyone can be pushed to their limits.
The Prestige,2006,Mystery Drama Thriller,Christopher Nolan,Hugh Jackman Christian Bale Scarlett Johansson,magic rivalry obsession illusion,Two rival stage magicians engage in a bitter and escalating competition to create the ultimate illusion.
Memento,2000,Mystery Thriller,Christopher Nolan,Guy Pearce Carrie-Anne Moss Joe Pantoliano,amnesia revenge nonlinear-narrative,A man with short-term memory loss uses notes and tattoos to hunt for the man he believes killed his wife.
The Matrix,1999,Sci-Fi Action,Lana Wachowski,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,simulation rebellion virtual-reality chosen-one,A hacker discovers that reality as he knows it is a simulation and joins a rebellion against its controllers.
Mad Max: Fury Road,2015,Action Adventure Sci-Fi,George Miller,Tom Hardy Charlize Theron Nicholas Hoult,post-apocalypse chase survival wasteland,In a desert wasteland a woman rebels against a tyrannical ruler in search of her homeland with the help of a group of female prisoners.
John Wick,2014,Action Thriller Crime,Chad Stahelski,Keanu Reeves Michael Nyqvist Alfie Allen,assassin revenge underworld gun-fu,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.
Gladiator,2000,Action Drama History,Ridley Scott,Russell Crowe Joaquin Phoenix Connie Nielsen,revenge empire arena betrayal,A betrayed Roman general fights his way from slavery to the gladiator arena to seek revenge against a corrupt emperor.
The Godfather,1972,Crime Drama,Francis Ford Coppola,Marlon Brando Al Pacino James Caan,mafia family loyalty crime-empire,The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.
Goodfellas,1990,Crime Drama Biography,Martin Scorsese,Robert De Niro Ray Liotta Joe Pesci,mob gangster loyalty rise-and-fall,A young man rises through the ranks of the mafia over decades and learns the true cost of that lifestyle.
The Departed,2006,Crime Drama Thriller,Martin Scorsese,Leonardo DiCaprio Matt Damon Jack Nicholson,undercover mole police-informant betrayal,An undercover cop and a police informant within the mob try to identify each other while infiltrating rival organizations.
Pulp Fiction,1994,Crime Drama,Quentin Tarantino,John Travolta Uma Thurman Samuel L. Jackson,nonlinear-narrative hitmen dark-comedy redemption,The lives of two hitmen a boxer and a gangster's wife intertwine in a series of violent and darkly funny stories.
Inglourious Basterds,2009,War Drama,Quentin Tarantino,Brad Pitt Christoph Waltz Melanie Laurent,world-war-two revenge-plot alternate-history resistance,A group of Jewish American soldiers plot to bring down the Nazi high command alongside a theatre owner seeking her own revenge.
Django Unchained,2012,Western Drama,Quentin Tarantino,Jamie Foxx Christoph Waltz Leonardo DiCaprio,slavery bounty-hunter revenge western,A freed slave teams up with a bounty hunter to rescue his wife from a ruthless plantation owner.
Fight Club,1999,Drama Thriller,David Fincher,Brad Pitt Edward Norton Helena Bonham Carter,insomnia underground-club identity anti-consumerism,An insomniac office worker and a soap maker form an underground fight club that spirals into something much bigger.
Se7en,1995,Crime Drama Mystery,David Fincher,Brad Pitt Morgan Freeman Gwyneth Paltrow,serial-killer detective sins investigation,Two detectives hunt a serial killer who uses the seven deadly sins as his motive for a string of murders.
Gone Girl,2014,Mystery Thriller Drama,David Fincher,Ben Affleck Rosamund Pike Neil Patrick Harris,missing-person marriage media-frenzy unreliable-narrator,A man becomes the prime suspect in his wife's disappearance as the media and public turn against him.
The Social Network,2010,Drama Biography,David Fincher,Jesse Eisenberg Andrew Garfield Justin Timberlake,startup betrayal lawsuit ambition,The founding of a social media company leads to a bitter lawsuit between former friends and business partners.
Shutter Island,2010,Mystery Thriller,Martin Scorsese,Leonardo DiCaprio Mark Ruffalo Ben Kingsley,asylum investigation twist paranoia,A U.S. Marshal investigates the disappearance of a patient from a hospital for the criminally insane on a remote island.
The Shawshank Redemption,1994,Drama,Frank Darabont,Tim Robbins Morgan Freeman Bob Gunton,prison friendship hope wrongful-conviction,A banker wrongly convicted of murder forms an enduring friendship with a fellow inmate over two decades in prison.
Forrest Gump,1994,Drama Romance,Robert Zemeckis,Tom Hanks Robin Wright Gary Sinise,history low-iq kindness destiny,A slow-witted but kind-hearted man from Alabama witnesses and unwittingly influences several defining historical events.
Titanic,1997,Romance Drama,James Cameron,Leonardo DiCaprio Kate Winslet Billy Zane,shipwreck class-divide forbidden-love disaster,A penniless artist and a young aristocrat fall in love aboard the ill-fated maiden voyage of an ocean liner.
Avatar,2009,Sci-Fi Adventure Action,James Cameron,Sam Worthington Zoe Saldana Sigourney Weaver,alien-world colonization nature-vs-industry avatar-body,A paralyzed marine is sent to a lush alien moon on a mission that turns into a fight to protect its people and land.
Jurassic Park,1993,Adventure Sci-Fi Thriller,Steven Spielberg,Sam Neill Laura Dern Jeff Goldblum,dinosaurs theme-park genetic-engineering survival,A theme park showcasing genetically recreated dinosaurs descends into chaos after its security systems fail.
The Lion King,1994,Animation Drama Family,Roger Allers,Matthew Broderick Jeremy Irons James Earl Jones,coming-of-age kingship betrayal circle-of-life,A young lion prince flees his kingdom after his father's death only to learn the true meaning of responsibility and courage.
Toy Story,1995,Animation Family Comedy,John Lasseter,Tom Hanks Tim Allen Don Rickles,toys-come-to-life friendship jealousy childhood,A cowboy doll's world is turned upside down when a new spaceman action figure becomes his owner's favorite toy.
Finding Nemo,2003,Animation Family Adventure,Andrew Stanton,Albert Brooks Ellen DeGeneres Alexander Gould,ocean father-son-bond search friendship,An overprotective clownfish sets out across the ocean to find and rescue his son who was captured by a diver.
Up,2009,Animation Adventure Family,Pete Docter,Edward Asner Jordan Nagai Christopher Plummer,balloons grief adventure unlikely-friendship,An elderly widower ties thousands of balloons to his house to fly to South America and unexpectedly gains a young stowaway.
Coco,2017,Animation Family Fantasy,Lee Unkrich,Anthony Gonzalez Gael Garcia Bernal Benjamin Bratt,music family-legacy afterlife tradition,A young boy is transported to the land of the dead where he seeks the help of a trickster to uncover the truth about his family history.
Frozen,2013,Animation Family Musical,Chris Buck,Kristen Bell Idina Menzel Jonathan Groff,sisterhood ice-powers kingdom self-acceptance,A fearless princess sets off on a journey alongside a rugged iceman to find her sister whose icy powers have trapped their kingdom in eternal winter.
The Avengers,2012,Action Sci-Fi Adventure,Joss Whedon,Robert Downey Jr. Chris Evans Scarlett Johansson,superhero-team alien-invasion teamwork shield,Earth's mightiest heroes must come together to stop a mischievous god and his alien army from enslaving humanity.
Iron Man,2008,Action Sci-Fi Adventure,Jon Favreau,Robert Downey Jr. Gwyneth Paltrow Jeff Bridges,billionaire-inventor powered-suit redemption weapons,A billionaire industrialist builds a powered suit of armor after a life-changing captivity and becomes a technologically advanced superhero.
Black Panther,2018,Action Sci-Fi Adventure,Ryan Coogler,Chadwick Boseman Michael B. Jordan Lupita Nyong'o,hidden-kingdom vibranium legacy kingship,A newly crowned king must defend his technologically advanced hidden nation from a vengeful outsider claiming his throne.
Spider-Man: Into the Spider-Verse,2018,Animation Action Adventure,Bob Persichetti,Shameik Moore Jake Johnson Hailee Steinfeld,multiverse coming-of-age superhero mentorship,A teenager gains spider-powers and joins forces with alternate-universe versions of Spider-Man to save all of reality.
Wonder Woman,2017,Action Adventure Fantasy,Patty Jenkins,Gal Gadot Chris Pine Robin Wright,amazon-warrior world-war-one mythology hero-origin,An Amazon warrior leaves her sheltered island home to fight in a world war after discovering her true calling as a hero.
Deadpool,2016,Action Comedy,Tim Miller,Ryan Reynolds Morena Baccarin Ed Skrein,anti-hero mercenary revenge fourth-wall-breaking,A wisecracking mercenary gains accelerated healing powers after an experiment and hunts down the man who ruined his life.
La La Land,2016,Musical Romance Drama,Damien Chazelle,Ryan Gosling Emma Stone John Legend,jazz aspiring-artists love-and-ambition hollywood,A jazz pianist and an aspiring actress fall in love in Los Angeles while pursuing their conflicting career dreams.
Whiplash,2014,Drama Music,Damien Chazelle,Miles Teller J.K. Simmons Melissa Benoist,music-school mentorship obsession perfectionism,A young drummer enrolls at a cutthroat music conservatory where his abusive instructor pushes him toward greatness or breakdown.
The Grand Budapest Hotel,2014,Comedy Drama,Wes Anderson,Ralph Fiennes Tony Revolori Adrien Brody,concierge inheritance whimsical-caper europe,A legendary concierge and his loyal lobby boy become entangled in a stolen painting and a family fortune dispute at a famous European hotel.
Parasite,2019,Drama Thriller Comedy,Bong Joon-ho,Song Kang-ho Lee Sun-kyun Cho Yeo-jeong,class-divide deception household infiltration,A poor family schemes their way into the lives of a wealthy household with consequences neither family sees coming.
Get Out,2017,Horror Mystery Thriller,Jordan Peele,Daniel Kaluuya Allison Williams Bradley Whitford,racial-tension hypnosis family-secrets social-thriller,A young man uncovers a disturbing secret when he visits his white girlfriend's family estate for the weekend.
A Quiet Place,2018,Horror Sci-Fi Thriller,John Krasinski,Emily Blunt John Krasinski Millicent Simmonds,silence monsters family survival,A family must live in silence while hiding from blind creatures that hunt anything that makes a sound.
